Lon,Lat,Abies alba,Betula pendula,Betula pubescens,Carpinus betulus,Fagus sylvatica,Fraxinus excelsior,Larix decidua,Picea abies,Pinus sylvestris,Pinus halpensis,Populus tremula,Quercus ilex,Quercus pubescens,Quercus robur,Latitude
14.25,57.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.75,46.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.25,66.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.25,53.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19.75,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.75,48.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15.25,51.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16.25,57.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.25,48.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15.25,53.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12.25,51.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
